STCODE,ENTITY,SITECODE,WATERYEAR,YEAR,MONTH,TYPE,MEAN_LPS,Q_AREA_MO,QCODE_MO,PH_MO,PHCODE_MO,COND_MO,CONDCODE_MO,ALK_MO,ALKCODE_MO,SSED_MO,SSEDCODE_MO,SI_MO,SICODE_MO,UTP_MO,UTPCODE_MO,TDP_MO,TDPCODE_MO,PO4P_MO,PO4PCODE_MO,PARTP_MO,PARTPCODE_MO,UTN_MO,UTNCODE_MO,TDN_MO,TDNCODE_MO,DON_MO,DONCODE_MO,PARTN_MO,PARTNCODE_MO,UTKN_MO,UTKNCODE_MO,TKN_MO,TKNCODE_MO,NH3N_MO,NH3NCODE_MO,NO3N_MO,NO3NCODE_MO,NA_MO,NACODE_MO,K_MO,KCODE_MO,CA_MO,CACODE_MO,MG_MO,MGCODE_MO,SO4S_MO,SO4SCODE_MO,CL_MO,CLCODE_MO,DOC_MO,DOCCODE_MO
CF002,2,"GSLOOK",2005,2005,5,P,3612.19,15.50,I,7.40,I,32.71,I,16.63,I,2.06,I,7.95,I,0.026,I,0.023,I,0.012,I,0.003,ID,0.05,I,0.04,I,0.03,ID*,0.01,ID,,N,,N,0.010,I,0.000,I*,2.03,I,0.40,I,2.96,I,0.64,I,0.08,I,0.60,I,1.62,I
CF002,2,"GSLOOK",2005,2005,6,F,2131.19,8.85,A,7.42,A,34.21,A,17.75,A,2.33,A,8.28,A,0.031,A,0.029,A,0.012,A,0.003,D,0.08,A,0.04,A,0.04,D*,0.03,D,,N,,N,0.007,A,0.000,*,2.15,A,0.45,A,3.33,A,0.87,A,0.07,A,0.55,A,1.35,A
CF002,2,"GSLOOK",2005,2005,7,F,745.74,3.20,A,7.50,A,39.13,A,19.96,A,1.54,A,8.64,I,0.033,A,0.032,A,0.011,A,0.002,D,0.11,A,0.05,A,0.04,D*,0.06,D,,N,,N,0.005,A,0.001,*,2.54,A,0.54,A,3.91,A,1.43,A,0.07,A,0.62,A,1.27,A
CF002,2,"GSLOOK",2005,2005,8,F,398.51,1.71,A,7.59,A,42.77,A,21.41,A,2.21,A,9.13,A,0.030,A,0.027,A,0.011,A,0.003,D,0.06,A,0.06,A,0.05,D*,0.00,D,,N,,N,0.011,A,0.001,*,2.71,A,0.63,A,3.86,A,1.16,A,0.07,A,0.81,A,1.32,A
CF002,2,"GSLOOK",2005,2005,9,F,341.95,1.42,A,7.54,A,42.44,A,21.07,A,2.04,A,8.81,A,0.026,A,0.025,A,0.012,A,0.000,D,0.06,A,0.04,A,0.04,D*,0.02,D,,N,,N,0.007,A,0.000,*,2.67,A,0.56,A,4.03,A,1.16,A,0.08,A,0.89,A,1.01,A
CF002,2,"GSLOOK",2006,2005,10,F,433.46,1.86,A,7.57,A,39.59,A,18.09,A,2.62,A,8.52,A,0.027,A,0.021,A,0.012,A,0.006,D,0.08,A,0.06,A,0.04,D*,0.02,D,,N,,N,0.011,A,0.008,*,2.60,A,0.52,A,3.88,A,1.12,A,0.09,A,1.98,A,1.14,A
CF002,2,"GSLOOK",2006,2005,11,F,4101.04,17.03,A,7.64,A,30.72,A,15.01,A,3.90,A,7.81,A,0.022,A,0.016,A,0.011,A,0.006,D,0.11,A,0.07,A,0.02,D,0.04,D,,N,,N,0.021,A,0.024,A,2.19,A,0.42,A,3.31,A,0.89,A,0.08,A,1.49,A,1.34,A
CF002,2,"GSLOOK",2006,2005,12,P,9233.23,39.62,A,7.31,A,27.68,A,13.77,A,122.49,A,7.00,A,0.079,Q,0.020,A,0.013,A,0.059,DQ,0.16,A,0.07,A,0.04,D,0.09,D,,N,,N,0.019,A,0.018,A,1.84,A,0.36,A,2.58,A,0.67,A,0.08,A,0.69,A,1.28,A
CF002,2,"GSLOOK",2006,2006,1,F,12605.39,54.09,A,7.30,A,26.62,A,13.32,A,164.62,A,6.91,A,0.099,Q,0.021,A,0.015,A,0.078,DQ,0.17,A,0.05,A,0.03,D,0.12,D,,N,,N,0.009,A,0.011,A,1.73,A,0.36,A,2.47,A,0.63,A,0.08,A,0.61,A,1.25,A
CF002,2,"GSLOOK",2006,2006,2,P,5580.84,21.63,A,7.30,A,29.28,A,14.95,A,8.80,A,7.65,A,0.029,A,0.021,A,0.013,A,0.009,D,0.04,A,0.03,A,0.02,D*,0.01,D,,N,,N,0.004,A,0.003,*,1.86,A,0.36,A,2.61,A,0.73,A,0.08,A,0.62,A,0.85,A
CF002,2,"GSLOOK",2006,2006,3,F,2836.15,12.17,A,7.40,A,30.70,A,15.38,A,106.28,A,7.82,A,0.107,A,0.020,A,0.012,A,0.086,D,0.10,A,0.03,A,0.02,D*,0.07,D,,N,,N,0.016,A,0.001,*,1.99,A,0.37,A,2.67,A,0.79,A,0.09,A,0.65,A,0.95,A
CF002,2,"GSLOOK",2006,2006,4,F,4023.98,16.71,A,7.33,A,27.92,A,13.91,A,43.35,A,7.10,A,0.042,A,0.017,A,0.009,A,0.025,D,0.05,A,0.04,A,0.03,D*,0.01,D,,N,,N,0.008,A,0.001,*,1.81,A,0.36,A,2.42,A,0.85,A,0.08,A,0.65,A,0.84,A
CF002,2,"GSLOOK",2006,2006,5,F,2705.65,11.61,A,7.32,A,27.48,A,13.96,A,31.60,A,6.74,A,0.046,A,0.019,A,0.009,A,0.027,D,0.11,A,0.08,A,0.03,D*,0.04,D,,N,,N,0.046,A,0.002,*,1.72,A,0.39,A,2.40,A,0.83,A,0.07,A,0.60,A,1.02,A
CF002,2,"GSLOOK",2006,2006,6,F,1760.34,7.31,A,7.40,A,31.03,A,15.71,A,34.47,A,7.68,A,0.052,A,0.021,A,0.011,A,0.031,D,0.09,A,0.07,A,0.04,D*,0.02,D,,N,,N,0.028,A,0.001,*,2.01,A,0.41,A,2.81,A,0.93,A,0.08,A,0.61,A,1.06,A
CF002,2,"GSLOOK",2006,2006,7,F,657.19,2.82,E,7.48,A,37.44,A,18.98,A,10.37,A,8.63,A,0.038,A,0.025,A,0.015,A,0.012,D,0.07,A,0.08,A,0.05,D*,0.00,D,,N,,N,0.028,A,0.000,*,2.35,A,0.52,A,3.37,A,1.08,A,0.08,A,0.66,A,1.04,A
CF002,2,"GSLOOK",2006,2006,8,F,337.91,1.45,A,7.50,A,39.52,A,19.79,A,1.25,A,8.95,A,0.027,A,0.023,A,0.013,A,0.003,D,0.05,A,0.05,A,0.04,D*,0.00,D,,N,,N,0.010,A,0.000,*,2.58,A,0.58,A,3.54,A,1.29,A,0.07,A,0.73,A,0.93,A
CF002,2,"GSLOOK",2006,2006,9,F,281.75,1.17,A,7.51,A,40.33,A,19.90,A,1.15,A,8.85,A,0.038,A,0.031,A,0.015,A,0.007,D,0.06,A,0.08,A,0.07,D*,0.00,D,,N,,N,0.011,A,0.000,*,2.70,A,0.55,A,3.77,A,1.30,A,0.09,A,0.83,A,0.85,A
CF002,2,"GSLOOK",2007,2006,10,F,288.98,1.24,A,7.55,A,40.05,A,19.60,A,2.27,A,8.63,A,0.035,A,0.032,A,0.015,A,0.003,D,0.07,A,0.06,A,0.05,D*,0.01,D,,N,,N,0.013,A,0.006,*,2.66,A,0.51,A,3.71,A,1.39,A,0.09,A,0.91,A,0.87,A
CF002,2,"GSLOOK",2007,2006,11,P,7277.37,30.22,A,7.30,A,29.53,A,14.27,A,10.82,A,7.40,A,0.036,A,0.026,A,0.013,A,0.011,D,0.10,A,0.08,A,0.04,D,0.02,D,,N,,N,0.007,A,0.030,A,2.13,A,0.41,A,2.76,A,0.99,A,0.09,A,0.73,A,1.37,A
CF002,2,"GSLOOK",2007,2006,12,P,9116.71,39.12,A,7.23,A,28.47,A,13.49,A,21.38,A,7.41,A,0.048,A,0.028,A,0.014,A,0.019,D,0.09,A,0.06,A,0.03,D,0.03,D,,N,,N,0.014,A,0.015,A,1.99,A,0.37,A,2.58,A,0.89,A,0.09,A,0.69,A,0.93,A
CF002,2,"GSLOOK",2007,2007,1,P,4747.12,20.37,A,7.30,A,30.37,A,14.39,A,3.74,A,7.93,A,0.032,A,0.024,A,0.014,A,0.007,D,0.05,A,0.05,A,0.03,D*,0.01,D,,N,,N,0.010,*,0.007,*,1.91,A,0.37,A,2.39,A,0.98,A,0.09,A,0.66,A,0.77,A
CF002,2,"GSLOOK",2007,2007,2,P,4868.72,18.87,A,7.37,A,30.87,A,15.31,A,12.83,A,8.32,A,0.032,A,0.027,A,0.017,A,0.004,D,0.06,A,0.05,A,0.03,D,0.01,D,,N,,N,0.005,A,0.011,A,2.06,A,0.32,A,3.01,A,1.04,A,0.10,A,0.74,A,0.94,A
CF002,2,"GSLOOK",2007,2007,3,F,5131.65,22.02,A,7.30,A,27.29,A,13.74,A,1.40,A,7.61,A,0.023,A,0.021,A,0.012,A,0.002,D,0.05,A,0.04,A,0.02,D,0.01,D,,N,,N,0.016,A,0.007,A,1.81,A,0.36,A,2.48,A,0.87,A,0.08,A,0.63,A,0.75,A
CF002,2,"GSLOOK",2007,2007,4,F,2865.67,11.90,A,7.37,A,30.13,A,14.87,A,2.08,A,7.96,A,0.024,A,0.022,A,0.013,A,0.002,D,0.04,A,0.04,A,0.04,D*,0.00,D,,N,,N,0.004,*,0.001,*,1.97,A,0.38,A,2.94,A,0.77,A,0.09,A,0.79,A,0.89,A
CF002,2,"GSLOOK",2007,2007,5,P,1652.29,7.09,E,7.37,A,31.05,A,15.55,A,1.29,A,7.96,A,0.022,A,0.020,A,0.012,A,0.002,D,0.05,A,0.04,A,0.04,D*,0.01,D,,N,,N,0.003,*,0.000,*,1.93,A,0.42,A,2.82,A,0.82,A,0.08,A,0.58,A,1.06,A
CF002,2,"GSLOOK",2007,2007,6,P,859.70,3.57,A,7.51,A,35.63,A,17.83,A,1.53,A,8.71,A,0.032,A,0.032,A,0.013,A,0.002,D,0.05,A,0.05,A,0.05,D*,0.01,D,,N,,N,0.003,*,0.001,*,2.19,A,0.49,A,3.29,A,0.86,A,0.08,A,0.64,A,0.88,A
CF002,2,"GSLOOK",2007,2007,7,F,468.42,2.01,A,7.60,A,39.48,A,19.82,A,2.47,A,9.34,A,0.040,A,0.029,A,0.012,A,0.011,D,0.06,A,0.04,A,0.04,D*,0.02,D,,N,,N,0.002,*,0.000,*,2.46,A,0.58,A,3.74,A,0.97,A,0.08,A,0.70,A,0.87,A
CF002,2,"GSLOOK",2007,2007,8,F,319.27,1.37,A,7.59,A,40.48,A,20.18,A,1.32,A,9.52,A,0.033,A,0.027,A,0.013,A,0.006,D,0.06,A,0.04,A,0.04,D*,0.02,D,,N,,N,0.001,*,0.001,*,2.57,A,0.61,A,3.76,A,0.95,A,0.07,A,0.72,A,0.96,A
CF002,2,"GSLOOK",2007,2007,9,F,286.57,1.19,A,7.50,A,39.98,A,20.03,A,0.78,A,9.24,A,0.035,A,0.028,A,0.014,A,0.007,D,0.06,A,0.05,A,0.04,D*,0.01,D,,N,,N,0.008,A,0.001,*,2.52,A,0.56,A,3.80,A,0.97,A,0.08,A,0.80,A,0.88,A
CF002,2,"GSLOOK",2008,2007,10,F,2237.23,9.60,A,7.41,A,34.62,A,17.00,A,4.00,A,8.17,A,0.030,A,0.022,A,0.012,A,0.008,D,0.10,A,0.07,A,0.05,D*,0.03,D,,N,,N,0.010,A,0.011,*,2.12,A,0.47,A,3.33,A,0.93,A,0.08,A,0.75,A,1.25,A
CF002,2,"GSLOOK",2008,2007,11,F,4580.26,19.02,A,7.37,A,31.77,A,15.43,A,2.13,A,7.75,A,0.026,A,0.021,A,0.012,A,0.004,D,0.06,A,0.05,A,0.04,D,0.01,D,,N,,N,0.009,A,0.004,A,2.06,A,0.40,A,3.07,A,0.75,A,0.08,A,0.69,A,1.11,A
CF002,2,"GSLOOK",2008,2007,12,F,6476.31,27.79,A,7.35,A,30.12,A,14.94,A,2.28,A,7.90,A,0.026,A,0.021,A,0.012,A,0.005,D,0.04,A,0.04,A,0.03,D*,0.01,D,,N,,N,0.006,*,0.002,*,2.01,A,0.35,A,2.95,A,0.69,A,0.09,A,0.64,A,0.88,A
CF002,2,"GSLOOK",2008,2008,1,P,5061.73,21.72,A,7.38,A,30.32,A,14.76,A,1.48,A,7.95,A,0.031,A,0.027,A,0.016,A,0.004,D,0.06,A,0.06,A,0.04,D*,0.01,D,,N,,N,0.015,*,0.002,*,2.04,A,0.37,A,2.89,A,0.73,A,0.10,A,0.70,A,0.91,A
CF002,2,"GSLOOK",2008,2008,2,P,3836.40,15.40,A,7.30,A,31.00,A,14.85,A,1.00,A,7.90,A,0.028,A,0.025,A,0.015,A,0.002,D,0.03,A,0.04,A,0.04,D*,0.00,D,,N,,N,0.004,*,0.000,*,2.11,A,0.38,A,2.95,A,0.74,A,0.10,A,0.72,A,0.74,A
CF002,2,"GSLOOK",2008,2008,3,F,6606.82,28.35,A,7.30,A,29.74,A,15.01,A,1.42,A,7.54,A,0.028,A,0.025,A,0.013,A,0.003,D,0.04,A,0.03,A,0.02,D*,0.01,D,,N,,N,0.008,*,0.001,*,2.03,A,0.37,A,2.82,A,0.74,A,0.10,A,0.69,A,0.74,A
CF002,2,"GSLOOK",2008,2008,4,F,4630.83,19.23,A,7.35,A,29.52,A,14.99,A,0.86,A,7.36,A,0.028,A,0.023,A,0.012,A,0.005,D,0.04,A,0.04,A,0.04,D*,0.00,D,,N,,N,0.003,*,0.000,*,1.98,A,0.35,A,2.84,A,0.76,A,0.09,A,0.66,A,0.69,A
CF002,2,"GSLOOK",2008,2008,5,F,8613.34,36.96,A,7.40,A,24.81,A,12.92,A,3.52,A,6.14,A,0.026,A,0.021,A,0.008,A,0.005,D,0.05,A,0.06,A,0.04,D*,0.00,D,,N,,N,0.011,*,0.008,*,1.63,A,0.31,A,2.36,A,0.73,A,0.08,A,0.59,A,0.72,A
CF002,2,"GSLOOK",2008,2008,6,P,4681.40,19.44,A,7.40,A,24.78,A,13.29,A,1.54,A,6.16,A,0.028,A,0.017,A,0.007,A,0.010,D,0.04,A,0.05,A,0.04,D*,0.00,D,,N,,N,0.011,*,0.001,*,1.58,A,0.33,A,2.41,A,0.77,A,0.08,A,0.57,A,0.79,A
CF002,2,"GSLOOK",2008,2008,7,P,1190.86,5.11,A,7.52,A,31.38,A,16.91,A,2.40,A,7.52,A,0.029,A,0.022,A,0.006,A,0.006,D,0.06,A,0.05,A,0.02,D*,0.01,D,,N,,N,0.032,*,0.001,*,2.01,A,0.46,A,3.09,A,0.96,A,0.07,A,0.62,A,0.91,A
CF002,2,"GSLOOK",2008,2008,8,F,666.51,2.86,A,7.66,A,38.23,A,20.43,A,1.72,A,8.64,A,0.027,A,0.025,A,0.006,A,0.002,D,0.07,A,0.05,A,0.05,D*,0.02,D,,N,,N,0.001,*,0.000,*,2.38,A,0.52,A,3.73,A,1.11,A,0.07,A,0.68,A,0.89,A
CF002,2,"GSLOOK",2008,2008,9,F,426.24,1.77,A,7.66,A,39.41,A,20.76,A,1.23,A,8.51,A,0.029,A,0.026,A,0.005,A,0.003,D,0.06,A,0.05,A,0.05,D*,0.01,D,,N,,N,0.002,*,0.001,*,2.44,A,0.52,A,3.79,A,1.01,A,0.08,A,0.79,A,0.79,A
CF002,2,"GSLOOK",2009,2008,10,F,473.08,2.03,A,7.57,A,37.39,A,20.09,A,1.86,A,8.15,A,0.030,A,0.028,A,0.010,A,0.002,D,0.07,A,0.06,A,0.05,D*,0.01,D,,N,,N,0.010,*,0.006,*,2.42,A,0.49,A,3.67,A,1.10,A,0.08,A,0.73,A,1.02,A
CF002,2,"GSLOOK",2009,2008,11,F,2993.30,12.43,A,7.50,A,32.56,A,16.99,A,3.63,A,7.34,A,0.033,A,0.026,A,0.009,A,0.006,D,0.07,A,0.06,A,0.03,D*,0.02,D,,N,,N,0.009,*,0.016,A,2.16,A,0.42,A,3.20,A,0.89,A,0.08,A,0.73,A,1.14,A
CF002,2,"GSLOOK",2009,2008,12,P,5122.32,21.98,A,7.33,A,26.05,A,13.75,A,49.59,A,6.65,A,0.066,A,0.026,A,0.009,A,0.039,D,0.14,A,0.04,A,0.02,D*,0.10,D,,N,,N,0.005,*,0.011,*,1.83,A,0.36,A,2.66,A,0.64,A,0.09,A,0.68,A,1.11,A
CF002,2,"GSLOOK",2009,2009,1,F,10820.27,46.43,A,7.32,A,25.26,A,13.30,A,44.30,A,6.67,A,0.061,A,0.026,A,0.009,A,0.035,D,0.12,A,0.05,A,0.03,D*,0.08,D,,N,,N,0.005,*,0.012,A,1.79,A,0.36,A,2.57,A,0.64,A,0.09,A,0.66,A,1.06,A
CF002,2,"GSLOOK",2009,2009,2,F,3103.91,12.03,A,7.49,A,28.78,A,15.31,A,1.64,A,7.45,A,0.024,A,0.021,A,0.009,A,0.003,D,0.04,A,0.05,A,0.04,D*,0.00,D,,N,,N,0.007,*,0.001,*,1.99,A,0.35,A,2.88,A,0.78,A,0.08,A,0.64,A,0.77,A
CF002,2,"GSLOOK",2009,2009,3,F,4679.54,20.08,A,7.50,A,28.45,A,15.17,A,1.52,A,7.33,A,0.025,A,0.023,A,0.010,A,0.003,D,0.04,A,0.04,A,0.04,D*,0.00,D,,N,,N,0.004,*,0.000,*,1.96,A,0.34,A,2.77,A,0.74,A,0.09,A,0.63,A,0.87,A
CF002,2,"GSLOOK",2009,2009,4,F,5090.79,21.14,A,7.42,A,26.45,A,14.09,A,1.27,A,6.64,A,0.023,A,0.019,A,0.011,A,0.004,D,0.07,A,0.05,A,0.03,D*,0.02,D,,N,,N,0.009,*,0.005,*,1.78,A,0.35,A,2.53,A,0.72,A,0.08,A,0.62,A,0.78,A
CF002,2,"GSLOOK",2009,2009,5,F,5222.53,22.41,A,7.42,A,26.19,A,14.05,A,2.13,A,6.36,A,0.023,A,0.020,A,0.007,A,0.004,D,0.08,A,0.07,A,0.05,D*,0.01,D,,N,,N,0.015,*,0.006,*,1.71,A,0.36,A,2.52,A,0.72,A,0.07,A,0.57,A,0.92,A
CF002,2,"GSLOOK",2009,2009,6,F,1213.70,5.04,A,7.56,A,31.47,A,17.52,A,2.23,A,7.65,A,0.025,A,0.023,A,0.007,A,0.003,D,0.07,A,0.05,A,0.05,D*,0.02,D,,N,,N,0.003,*,0.001,*,2.04,A,0.46,A,3.08,A,0.84,A,0.07,A,0.60,A,0.85,A
CF002,2,"GSLOOK",2009,2009,7,F,542.99,2.33,A,7.60,A,37.39,A,19.84,A,1.71,A,8.68,A,0.027,A,0.024,A,0.010,A,0.004,D,0.05,A,0.04,A,0.04,D*,0.01,D,,N,,N,0.001,*,0.001,*,2.44,A,0.55,A,3.62,A,0.94,A,0.07,A,0.71,A,1.07,A
CF002,2,"GSLOOK",2009,2009,8,F,337.91,1.45,A,7.60,A,39.23,A,20.59,A,1.37,A,8.86,A,0.030,A,0.025,A,0.010,A,0.005,D,0.04,A,0.02,A,0.02,D*,0.02,D,,N,,N,0.001,*,0.000,*,2.56,A,0.59,A,3.79,A,0.97,A,0.07,A,0.74,A,1.04,A
CF002,2,"GSLOOK",2009,2009,9,F,286.57,1.19,A,7.60,A,40.30,A,20.62,A,1.09,A,8.63,A,0.025,A,0.026,A,0.011,A,0.000,D,0.04,A,0.04,A,0.04,D*,0.01,D,,N,,N,0.004,*,0.000,*,2.53,A,0.55,A,3.86,A,1.06,A,0.08,A,0.84,A,1.01,A
CF002,2,"GSLOOK",2010,2009,11,P,3096.85,12.86,A,7.38,A,34.27,A,17.03,A,4.72,A,7.15,A,0.027,A,0.021,A,0.009,A,0.007,D,0.10,A,0.05,A,0.04,D*,0.05,D,,N,,N,0.009,*,0.002,*,2.15,A,0.42,A,3.15,A,0.73,A,0.09,A,0.84,A,1.28,A
CF002,2,"GSLOOK",2010,2009,12,P,3493.34,14.99,E,7.40,A,28.44,A,14.41,A,50.16,A,6.65,A,0.033,A,0.024,A,0.009,A,0.009,D,0.11,A,0.08,A,0.05,D*,0.04,D,,N,,N,0.011,*,0.016,*,1.89,A,0.37,A,2.71,A,0.58,A,0.09,A,0.77,A,1.08,A
CF002,2,"GSLOOK",2010,2010,1,F,6364.45,27.31,A,7.41,A,28.59,A,14.51,A,42.63,A,7.13,A,0.033,A,0.025,A,0.012,A,0.008,D,0.09,A,0.08,A,0.05,D,0.02,D,,N,,N,0.014,A,0.019,A,1.85,A,0.36,A,2.68,A,0.49,A,0.09,A,0.73,A,0.98,A
CF002,2,"GSLOOK",2010,2010,2,F,2871.69,11.13,A,7.50,A,30.95,A,15.91,A,10.18,A,7.73,A,0.033,A,0.024,A,0.011,A,0.009,D,0.08,A,0.07,A,0.04,D*,0.01,D,,N,,N,0.018,*,0.003,*,1.94,A,0.38,A,2.93,A,0.53,A,0.09,A,0.76,A,0.83,A
CF002,2,"GSLOOK",2010,2010,3,F,3281.27,14.08,A,7.49,A,30.24,A,15.47,A,11.31,A,7.54,A,0.031,A,0.021,A,0.008,A,0.010,D,0.07,A,0.05,A,0.04,D*,0.02,D,,N,,N,0.007,*,0.000,*,1.88,A,0.38,A,2.90,A,0.58,A,0.09,A,0.80,A,0.91,A
CF002,2,"GSLOOK",2010,2010,4,F,4544.14,18.87,A,7.43,A,28.73,A,14.79,A,8.48,A,7.23,A,0.028,A,0.019,A,0.007,A,0.008,D,0.06,A,0.04,A,0.03,D*,0.01,D,,N,,N,0.013,A,0.001,*,1.75,A,0.36,A,2.73,A,0.54,A,0.09,A,0.72,A,0.82,A
CF002,2,"GSLOOK",2010,2010,5,F,3612.19,15.50,A,7.44,A,28.02,A,14.56,A,7.21,A,7.03,A,0.020,A,0.011,A,0.007,A,0.009,D,0.07,A,0.04,A,0.04,D*,0.03,D,,N,,N,0.009,*,0.000,*,1.68,A,0.35,A,2.64,A,0.55,A,0.08,A,0.66,A,0.87,A
CF002,2,"GSLOOK",2010,2010,6,F,5141.36,21.35,A,7.41,A,29.90,A,15.37,A,10.22,A,7.16,A,0.023,A,0.012,A,0.008,A,0.011,D,0.08,A,0.03,A,0.02,D*,0.05,D,,N,,N,0.008,*,0.000,*,1.71,A,0.37,A,2.81,A,0.56,A,0.08,A,0.65,A,0.92,A
CF002,2,"GSLOOK",2010,2010,7,F,766.72,3.29,A,7.60,A,37.52,A,19.52,A,3.25,A,8.88,A,0.017,A,0.014,A,0.010,A,0.003,D,0.05,A,0.04,A,0.03,D*,0.01,D,,N,,N,0.007,*,0.001,*,2.14,A,0.48,A,3.56,A,0.64,A,0.08,A,0.77,A,0.99,A
CF002,2,"GSLOOK",2010,2010,8,F,410.16,1.76,A,7.60,A,40.07,A,20.81,A,6.29,A,9.17,A,0.020,A,0.015,A,0.009,A,0.006,D,0.07,A,0.05,A,0.05,D*,0.03,D,,N,,N,0.000,*,0.000,*,2.42,A,0.51,A,3.66,A,0.76,A,0.07,A,0.87,A,0.96,A
CF002,2,"GSLOOK",2010,2010,9,F,488.85,2.03,A,7.53,A,40.33,A,21.03,A,5.11,A,8.90,A,0.020,A,0.013,A,0.009,A,0.008,D,0.06,A,0.04,A,0.04,D*,0.03,D,,N,,N,0.003,*,0.001,*,2.49,A,0.51,A,3.88,A,0.82,A,0.07,A,0.93,A,1.15,A
CF002,2,"GSLOOK",2011,2010,10,P,1072.01,4.60,A,7.54,A,36.97,A,19.01,A,1.86,A,8.14,A,0.015,A,0.014,A,0.011,A,0.001,D,0.07,A,0.04,*,0.03,D*,0.03,D*,,N,,N,0.012,*,0.005,*,2.30,A,0.48,A,3.59,A,0.79,A,0.08,A,0.88,A,1.03,A
CF002,2,"GSLOOK",2011,2010,11,F,3400.28,14.12,A,7.50,A,32.47,A,16.67,A,3.38,A,7.49,A,0.019,A,0.013,A,0.011,A,0.006,D,0.10,A,0.05,A,0.03,D*,0.05,D,,N,,N,0.016,A,0.004,*,2.10,A,0.42,A,3.16,A,0.67,A,0.09,A,0.86,A,1.05,A
CF002,2,"GSLOOK",2011,2010,12,F,9505.90,40.79,A,7.34,A,29.32,A,14.84,A,6.88,A,7.11,A,0.024,A,0.014,A,0.012,A,0.010,D,0.08,Q,0.10,Q,0.09,DQ*,0.01,DQ,,N,,N,0.014,A,0.004,*,1.91,A,0.38,A,2.74,A,0.58,A,0.08,A,0.71,A,0.93,A
CF002,2,"GSLOOK",2011,2011,1,P,9573.48,41.08,A,7.30,I,30.10,I,14.37,I,3.48,I,7.35,I,0.016,I,0.013,I,0.012,I,0.003,ID,0.05,I,0.04,I,0.02,ID*,0.01,ID,,N,,N,0.009,I*,0.007,I,1.87,I,0.36,I,2.70,I,0.62,I,0.08,I,0.64,I,0.68,I
CF002,2,"GSLOOK",2011,2011,2,P,2102.81,8.15,A,7.30,A,30.58,A,14.86,A,2.43,A,7.52,A,0.016,A,0.013,A,0.011,A,0.003,D,0.04,A,0.03,A,0.03,D*,0.01,D,,N,,N,0.006,*,0.002,*,1.91,A,0.36,A,2.85,A,0.65,A,0.09,A,0.67,A,0.69,A
CF002,2,"GSLOOK",2011,2011,3,P,6665.08,28.60,A,7.40,A,29.19,A,14.67,A,3.04,A,7.50,A,0.019,A,0.014,A,0.013,A,0.005,D,0.04,A,0.03,A,0.02,D*,0.01,D,,N,,N,0.011,*,0.000,*,1.92,A,0.35,A,2.76,A,0.62,A,0.09,A,0.65,A,0.81,A
CF002,2,"GSLOOK",2011,2011,4,F,7884.22,32.74,A,7.40,A,27.89,A,14.07,A,4.71,A,7.03,A,0.017,A,0.012,A,0.011,A,0.005,D,0.05,A,0.03,A,0.02,D*,0.02,D,,N,,N,0.011,*,0.000,*,1.82,A,0.33,A,2.61,A,0.74,A,0.09,A,0.62,A,0.76,A
CF002,2,"GSLOOK",2011,2011,5,F,5220.20,22.40,A,7.25,A,26.26,A,13.24,A,1.41,A,6.54,A,0.013,A,0.008,A,0.009,A,0.004,D,0.04,A,0.02,A,0.01,D*,0.02,D,,N,,N,0.011,*,0.000,*,1.67,A,0.30,A,2.43,A,0.79,A,0.08,A,0.64,A,0.74,A
CF002,2,"GSLOOK",2011,2011,6,F,3566.44,14.81,A,7.40,A,27.39,A,13.63,A,1.91,A,6.64,A,0.012,A,0.008,A,0.007,A,0.004,D,0.04,A,0.02,A,0.01,D*,0.02,D,,N,,N,0.016,A,0.001,*,1.73,A,0.34,A,2.58,A,0.83,A,0.08,A,0.77,A,0.82,A
CF002,2,"GSLOOK",2011,2011,7,F,957.81,4.11,A,7.55,A,33.89,A,17.07,A,1.97,A,8.00,A,0.016,A,0.011,A,0.009,A,0.006,D,0.05,A,0.03,A,0.02,D*,0.03,D,,N,,N,0.009,*,0.000,*,2.14,A,0.47,A,3.22,A,1.01,A,0.07,A,0.70,A,0.91,A
CF002,2,"GSLOOK",2011,2011,8,F,510.37,2.19,A,7.55,A,37.73,A,19.39,A,1.78,A,8.87,A,0.016,A,0.012,A,0.010,A,0.004,D,0.06,A,0.02,A,0.02,D*,0.04,D,,N,,N,0.012,*,0.001,*,2.47,A,0.54,A,3.60,A,1.13,A,0.07,A,0.67,A,0.94,A
CF002,2,"GSLOOK",2011,2011,9,F,375.67,1.56,A,7.50,A,38.98,A,20.23,A,1.00,A,9.01,A,0.015,A,0.013,A,0.009,A,0.002,D,0.04,A,0.03,A,0.02,D*,0.01,D,,N,,N,0.015,A,0.002,*,2.55,A,0.52,A,3.70,A,1.18,A,0.07,A,0.76,A,1.11,A
CF002,2,"GSLOOK",2012,2011,10,F,468.42,2.01,A,7.50,A,38.94,A,19.93,A,1.05,A,8.73,A,0.016,A,0.012,A,0.011,A,0.004,D,0.04,A,0.04,A,0.02,D*,0.01,D,,N,,N,0.016,*,0.001,*,2.49,A,0.46,A,3.70,A,1.21,A,0.08,A,0.84,A,1.05,A
